2025-10-04 11:00:02,136 | http_handler.py 587 _should_use_aiohttp_transport() |  DEBUG | Using AiohttpTransport...
2025-10-04 11:00:02,137 | http_handler.py 645 _create_aiohttp_transport() |  DEBUG | Creating AiohttpTransport...
2025-10-04 11:00:02,137 | http_handler.py 655 _create_aiohttp_transport() |  DEBUG | NEW SESSION: Creating new ClientSession (no shared session provided)
2025-10-04 11:00:02,225 | _trace.py 47 trace() |  DEBUG | connect_tcp.started host='raw.githubusercontent.com' port=443 local_address=None timeout=5 socket_options=None
2025-10-04 11:00:02,231 | _trace.py 47 trace() |  DEBUG | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7fed42ae2860>
2025-10-04 11:00:02,231 | _trace.py 47 trace() |  DEBUG | start_tls.started ssl_context=<ssl.SSLContext object at 0x7fed3f18bb40> server_hostname='raw.githubusercontent.com' timeout=5
2025-10-04 11:00:02,239 | _trace.py 47 trace() |  DEBUG | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7fed42ae2830>
2025-10-04 11:00:02,239 | _trace.py 47 trace() |  DEBUG | send_request_headers.started request=<Request [b'GET']>
2025-10-04 11:00:02,239 | _trace.py 47 trace() |  DEBUG | send_request_headers.complete
2025-10-04 11:00:02,239 | _trace.py 47 trace() |  DEBUG | send_request_body.started request=<Request [b'GET']>
2025-10-04 11:00:02,240 | _trace.py 47 trace() |  DEBUG | send_request_body.complete
2025-10-04 11:00:02,240 | _trace.py 47 trace() |  DEBUG | receive_response_headers.started request=<Request [b'GET']>
